"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
4.881490500E-2	8.480812988E2	3.286125183E2	1.605562592E2	9.235834499E2
5.881516500E-2	8.493562622E2	3.287625122E2	1.607437592E2	9.248402055E2
6.881506100E-2	8.495625610E2	3.286500244E2	1.606875000E2	9.249799221E2
7.881490500E-2	8.493562622E2	3.285000000E2	1.603500061E2	9.246785574E2
8.881506100E-2	8.493187866E2	3.284812622E2	1.603312531E2	9.246342259E2
9.889891500E-2	8.494500122E2	3.284250183E2	1.604250031E2	9.247510462E2
1.088149570E-1	8.495250244E2	3.282562561E2	1.606125031E2	9.247925783E2
1.188150090E-1	8.495062866E2	3.281437683E2	1.607250061E2	9.247549899E2
1.288150610E-1	8.495625610E2	3.279000244E2	1.607250061E2	9.247202273E2
1.388151650E-1	8.494688110E2	3.276375122E2	1.607250061E2	9.245410364E2
1.488149570E-1	8.496750488E2	3.276562500E2	1.607437592E2	9.247404300E2
1.588149570E-1	8.497687988E2	3.277500000E2	1.608375092E2	9.248760881E2
1.688150090E-1	8.498625488E2	3.278625183E2	1.609500122E2	9.250216696E2
1.788149570E-1	8.497125244E2	3.278250122E2	1.610250092E2	9.248835961E2
1.888154780E-1	8.497125244E2	3.281250000E2	1.610062561E2	9.249867049E2
1.988148530E-1	8.497125244E2	3.282562561E2	1.609687500E2	9.250267468E2
2.088149570E-1	8.500125122E2	3.284812622E2	1.611187592E2	9.254082694E2
2.188150090E-1	8.501250610E2	3.287250061E2	1.609500122E2	9.255688281E2
2.288149050E-1	8.499187622E2	3.286125183E2	1.608937531E2	9.253296112E2
2.388149570E-1	8.499750366E2	3.286125183E2	1.607812500E2	9.253617457E2
2.488150610E-1	8.500687866E2	3.284250183E2	1.607812500E2	9.253812971E2
2.588150610E-1	8.502000122E2	3.285937500E2	1.606312561E2	9.255356901E2
2.688149050E-1	8.500687866E2	3.283875122E2	1.604812622E2	9.253159113E2
2.788149050E-1	8.500687866E2	3.284812622E2	1.601437531E2	9.252907128E2
